month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2019-05,Puerto Rico,0,0,2266,188,153,23,0,1,1,0,15,4,0,0,0,0,0,0,0,0,0,1,1,0,2653
2019-05,Rhode Island,0,0,941,515,96,169,0,0,0,0,8,0,0,17,40,3,0,0,15,7,0,1,1,0,1813
2019-05,South Carolina,9850,167,8332,3531,843,631,0,14,3,0,975,435,4,147,7,2,0,0,19,12,3,1,0,1,24977
2019-05,South Dakota,650,0,2148,2383,187,118,0,2,6,0,128,166,1,0,0,0,0,0,1,2,0,0,0,0,5792
2019-05,Tennessee,12526,0,20921,9885,1522,0,0,0,0,0,0,0,0,52,6,1,0,0,0,0,0,0,0,0,44913
2019-05,Texas,28928,0,38714,23587,3118,3993,0,72,42,3,6010,3122,39,49,6,0,0,0,43,24,8,2,3,0,107763
2019-05,Utah,19931,50188,3045,2849,289,0,0,3,0,0,249,277,0,150,52,25,0,0,0,0,0,0,0,0,77058
2019-05,Vermont,0,0,1333,1138,111,61,6,0,0,0,1,2,1,0,0,0,0,0,4,2,0,0,0,0,2659
2019-05,Virgin Islands,60,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
2019-05,Virginia,1205,53,17935,8821,2454,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,0,0,30515
2019-05,Washington,13988,147,18141,11217,4250,1202,3,17,12,3,1150,850,12,567,101,9,0,0,825,543,60,12,14,2,53125
2019-05,West Virginia,2223,0,4787,3700,278,313,1,9,2,1,937,888,1,14,1,2,0,0,9,7,0,0,0,0,13173
2019-05,Wisconsin,7840,536,11997,8512,948,56,0,0,3,9,119,158,3,88,31,4,0,0,0,3,0,0,0,0,30307
2019-05,Wyoming,639,2,1740,1828,150,108,0,2,3,0,139,167,0,0,0,0,0,0,1,14,0,0,0,0,4793
2019-04,Alabama,26958,666,6747,4538,265,240,0,6,15,0,972,722,2,0,0,0,0,0,9,2,3,0,0,1,41146
2019-04,Alaska,243,10,2704,2605,323,215,0,1,1,1,185,138,1,24,21,0,0,0,16,17,0,0,0,0,6505
2019-04,Arizona,6120,509,12985,6750,1280,731,0,10,8,2,1130,548,3,107,10,1,0,0,19,8,1,0,0,0,30222
2019-04,Arkansas,3373,843,4951,4060,319,303,3,10,12,0,905,1012,3,0,0,0,0,0,8,9,1,0,0,0,15812
2019-04,California,46004,0,37484,25895,4204,0,0,0,0,0,536,336,7,0,0,0,0,0,0,0,0,0,0,0,114466
2019-04,Colorado,7612,0,17199,11594,1470,1141,0,0,0,0,0,0,0,342,71,4,0,0,0,0,0,0,0,0,39433
2019-04,Connecticut,8167,485,4775,1792,500,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15726
2019-04,Delaware,519,0,1687,1146,132,116,0,1,1,0,9,8,2,88,0,0,0,0,60,27,9,0,2,0,3807
2019-04,District of Columbia,282,0,122,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,409
2019-04,Florida,18613,0,48329,15125,3652,2130,3,36,23,0,3279,1049,7,908,84,1,0,0,212,107,49,42,44,0,93693
2019-04,Georgia,19573,0,12049,5798,608,438,0,12,14,3,1570,853,7,2,0,0,0,0,9,8,4,2,2,0,40952
2019-04,Guam,0,0,88,46,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
2019-04,Hawaii,1207,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1212
2019-04,Idaho,6608,2,3865,4118,379,238,0,2,5,0,322,381,2,48,9,9,0,0,7,7,0,0,1,1,16004
2019-04,Illinois,14158,360461,21307,8748,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405464
2019-04,Indiana,41080,33562,18528,9718,1493,686,22,8,7,0,498,372,16,22,0,0,0,0,37,30,16,0,1,0,106096
2019-04,Iowa,5933,7113,200,1761,41,4,0,0,0,0,1,49,3,25,12,0,0,0,0,2,0,0,0,0,15144
2019-04,Kansas,1739,4,4737,3858,433,296,0,12,4,2,499,284,12,28,6,0,0,0,15,2,1,0,1,0,11933
2019-04,Kentucky,361715,0,10133,5989,390,452,4,18,12,1,1462,1167,2,10,5,0,0,0,24,23,2,1,1,0,381411
2019-04,Louisiana,2285,89,9196,5330,709,432,0,14,2,1,953,596,3,0,0,0,0,0,30,7,1,2,0,0,19650
2019-04,Maine,652,9,3134,2819,327,169,1,1,0,0,102,108,0,28,9,1,0,0,3,8,0,1,3,0,7375
2019-04,Mariana Islands,0,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2019-04,Maryland,3839,0,3759,4478,120,35,0,1,2,0,57,106,2,63,17,0,0,0,0,23,34,0,1,0,12537
2019-04,Massachusetts,10866,4,3846,2280,455,175,6,0,0,0,5,5,0,0,0,0,0,0,48,40,6,2,0,0,17738
2019-04,Michigan,21511,16,10368,7277,798,229,3,1,3,0,7,229,0,89,12,0,0,0,7,17,2,0,0,1,40570
2019-04,Minnesota,15173,32947,10655,11570,1007,809,0,2,2,0,192,256,3,40,19,1,0,0,19,22,3,0,0,0,72720
2019-04,Mississippi,1831,0,7199,3936,341,305,0,28,9,2,1375,840,5,0,0,0,0,0,12,7,4,0,0,0,15894
2019-04,Missouri,2835,0,15972,12020,1478,943,0,13,8,1,1310,853,2,249,37,5,0,0,54,35,7,2,1,0,35825
2019-04,Montana,1417,0,2815,3704,242,266,10,2,7,0,359,557,1,25,5,2,0,0,4,3,0,0,0,0,9419
2019-04,Nebraska,3650,98,84,1318,20,5,0,0,0,0,3,39,0,46,3,0,0,0,0,1,0,0,0,0,5267
2019-04,Nevada,2524,0,4502,2535,315,258,0,0,1,0,283,104,1,1,0,0,0,0,0,0,0,0,0,0,10524
